req_tag,distinct_IDs
atcadlab,184
struc2lammpsdf,36
lammpstool,35
jupyter,31
polymod,30
abacus,28
mosfetsat,27
qdot,27
crystalviewer,25
handsonpinns,23
2dfets,22
uvspec,22
pntoy,20
s4sim,20
pnjunctionlab,19
ucb_compnano,19
bandstrlab,17
dftqe,17
oommf,17
cc3dbase4x,16
cntbands-ext,16
mseml,16
oof2,15
nanomos,14
senstran,13
cc3dcovid19,12
contactmaps,12
jfetlab,11
moscap,11
pcpbt,11
bjt,10
kronig_penney,10
npshapelab,10
padre,9
sqsatat,9
tellurium,9
thermo,9
intromllab,8
abinit,7
archimedes,7
brillouin,7
maml,7
moscntr,7
veda,7
2dreflect,6
btesolver,6
cntfet,6
crystal_viewer,6
memristor,6
nanomatmech,6
vides,6
wulffman,6
advte,5
cntnemscant,5
dualfoil,5
matrix2surface,5
mosfet,5
nanoindentation,5
nmie,5
pc4nanobio,5
photonicsrt,5
pnlongbasedda,5
schred,5
workspace,5
amobt,4
coulombsim,4
dftmatprop,4
fibstream,4
gpuheompop,4
imagesegment,4
matsimtk,4
nanowire,4
netdebugger,4
nmst_dft,4
npassemblylab,4
orcatool,4
photonicsdb,4
photonicspos,4
pnshortbasedda,4
pub,4
tcacademic,4
tsuprem4,4
agpvsim,3
berkeleygw,3
biolab,3
biolabisfet,3
citrinednn,3
cnegfmos,3
compcatal,3
cvgraph,3
ddaplus,3
dsmc,3
electromat,3
fdical,3
gfettool,3
kronigpenneylab,3
mastmltutorial,3
matdatarepo,3
meep,3
meltheas,3
mesfet,3
mgnanowirefet,3
mos,3
mtjlab,3
nsoptics3d,3
nusimm,3
pnndemo,3
prolabcdd,3
prolabox,3
qcrf4photo,3
spice3f4,3
tddft,3
voidfrac,3
xas,3
xrd,3
1dfdmht,2
1dhetero,2
adeptnpt,2
angiogencc3d,2
bayesopt,2
circuitelements,2
cnia,2
cntmob,2
convn,2
covidvaccinemod,2
ddaconvert,2
deviceelectron,2
dopingsilicon,2
extcs,2
fettoy,2
lantrap,2
lcoe,2
mavelp,2
mdshocks,2
microenvnmtr,2
mif,2
molctoy,2
mot2ddemocc3d,2
mstaracademic,2
multiscaletec,2
nanoenergytools,2
nanofinfet,2
nanonet,2
nccpf,2
nsoptics,2
nwabsorption,2
omenwire,2
pc3types,2
pcisa,2
polymerxtal,2
pslsim,2
purdueme581,2
pvanalyzer,2
rdf,2
romdegradation,2
rtd,2
rtdnegf,2
semi,2
semidop,2
sha2d,2
straincomp,2
vachecker,2
vkmllive,2
1dphononbte,1
2dmatstacks,1
aqme,1
asts,1
bacmacrocc3d4,1
bandstrlab_r327,1
bulkmc,1
calibdriver,1
capacitancescm,1
cc3dbactmacro,1
cc3dwf,1
cellsorthexcc3d,1
citrinetools,1
cntbte,1
cntrelay,1
compfilsim3d,1
comphydrogennb,1
complam,1
dbrlaser,1
dda,1
deltanotchcc3d,1
dsmc1d,1
echem,1
energycurve,1
fermi,1
ffettool,1
fgmbuilder,1
fibmd,1
gamian,1
gresq,1
gsaimage,1
hotspice,1
htworkspace,1
joommf,1
jupyter51,1
jupyter70,1
legogen,1
lfmobility,1
lorentzfit,1
mage,1
Matdcal,1
matlabdata,1
mdsim,1
megnet,1
ml4ecg,1
mldefect,1
mobiresis,1
molexpl,1
mpb,1
msl,1
msl_r12,1
mtstub,1
nacresimulator,1
nanocmos,1
nanodrill,1
nanofet,1
nanoheatflow,1
nanoparticle,1
nanoplasticity,1
nmstthermal,1
npshortbasedda,1
nrr,1
nsoptics3d_r18,1
nuitns,1
opt,1
opv,1
owetp,1
partsub,1
pc4biorobots,1
pc4cancerbots,1
pc4cancerimmune,1
pc4heterogen,1
pc4livermedium,1
pc4tumorhypoxia,1
photonicsdb_r176,1
photonicstk,1
pigmenthunter,1
polymerwfnb,1
predicts2d,1
prismspfmisfit,1
pvlimits,1
qdotled,1
qstem,1
quamc2d,1
reaxff597a,1
sbcnfet,1
sfe,1
smdc,1
spincoupleddots,1
stick2d,1
strainbands,1
straincalc,1
struct2lammps,1
sugar,1
teg,1
temlattice,1
thermalcond,1
trmechanics,1
virion2pbpd,1
vkmlsd,1
vsmod,1
waveguides,1
xpsts,1
xrdinteract,1
