req_tag,distinct_IDs
atcadlab,514
jupyter,328
purdueme581,228
lammpstool,131
abacus,130
ucb_compnano,120
struc2lammpsdf,103
cc3dbase4x,101
crystalviewer,101
pntoy,94
qdot,89
oommf,88
mosfetsat,84
mseml,76
polymod,73
chm37301,72
pnjunctionlab,69
dftqe,60
bandstrlab,58
handsonpinns,58
2dfets,57
tellurium,54
uvspec,52
pcpbt,50
oof2,49
bjt,43
crystal_viewer,42
cntbands-ext,41
moscntr,40
s4sim,37
dftmatprop,36
intromllab,36
mosfet,36
senstran,36
jupyter51,35
nanomos,32
cc3dcovid19,31
cntfet,31
jfetlab,31
mos,31
jupyter70,30
maml,30
netdebugger,30
kronig_penney,28
mobiresis,28
moscap,27
nusimm,27
atcadlab_r15,26
photonicsdb,25
workspace,25
semidop,24
vides,24
contactmaps,23
nanomatmech,23
padre,23
sqsatat,22
2dreflect,21
extcs,21
gfettool,21
orcatool,21
pnlongbasedda,21
brillouin,20
cntnemscant,20
deviceelectron,20
nanofinfet,20
photonicsrt,20
veda,20
wulffman,20
biolabisfet,19
matdatarepo,19
sha2d,19
thermo,19
amobt,18
npshapelab,18
prolabox,18
1dhetero,17
nccpf,17
nsoptics3d,17
prolabcdd,17
abinit,16
berkeleygw,16
ddaplus,16
kronigpenneylab,16
mtjlab,16
nmie,16
dualfoil,15
fettoy,15
jupyter_r9,15
matsimtk,15
advte,14
biolab,14
omenwire,14
struct2lammps,14
tcacademic,14
adeptnpt,13
bayesopt,13
electromat,13
meep,13
memristor,13
nanowire,13
pvanalyzer,13
rtdnegf,13
schred,13
tsuprem4,13
agpvsim,12
archimedes,12
compcatal,12
cvgraph,12
dda,12
qcrf4photo,12
sbcnfet,12
angiogencc3d,11
bacmacrocc3d4,11
btesolver,11
fdical,11
matrix2surface,11
mgnanowirefet,11
nmst_dft,11
pnshortbasedda,11
romdegradation,11
semi,11
sugar,11
2dmatstacks,10
cc3dbase4x_r12,10
cntmob,10
mavelp,10
nanoenergytools,10
nanoindentation,10
nsoptics,10
bsclab,9
carrierconc,9
circuitelements,9
cnegfmos,9
compfilsim3d,9
coulombsim,9
ddsolarcell,9
fermi,9
jupyterlab,9
mastmltutorial,9
meltheas,9
npassemblylab,9
pub,9
spice3f4,9
vkmllive,9
aqme,8
cnia,8
covidvaccinemod,8
fgmbuilder,8
lcoe,8
mdsandbox,8
nacresimulator,8
tbmodel,8
thermalcond,8
xrd,8
1dfdmht,7
abacus_r36,7
ctfet,7
dopingsilicon,7
jupyter60,7
lantrap,7
matlabmicroelec,7
meeppv,7
mldefect,7
nwabsorption,7
pc4covid19,7
pc4nanobio,7
photonicspos,7
prophet,7
purdueme581_r68,7
purduemse270,7
siesta,7
slpf,7
tcnt,7
voidfrac,7
xas,7
1dphononbte,6
biophotonicsim,6
bowtie,6
calibdriver,6
citrinetools,6
gnrinterconnect,6
graft,6
imagesegment,6
lammpstool_r46,6
mage,6
matlabdata,6
mot2ddemocc3d,6
nanoparticle,6
opv,6
pc4heterogen,6
periodicpot,6
pigmenthunter,6
prismspfmisfit,6
pvlimits,6
rdf,6
smdc,6
vkmlpsgg,6
amidespec,5
cc3dvasctumor,5
citrinednn,5
cntbte,5
comphydrogennb,5
compucell3d,5
convn,5
dbrlaser,5
ddaconvert,5
deformnanowire,5
diffusiongame2d,5
joommf,5
jupyter51_r2,5
jupytergpu,5
matlabrad,5
mesfet,5
nuitns,5
octaview,5
owetp,5
padre_r22,5
pc4biorobots,5
piezoharvest,5
pnndemo,5
pntoy_r56,5
qclab,5
rtd,5
s4editor,5
smoot,5
snap,5
straincomp,5
swntjiv,5
tdks,5
tftutorials,5
xpsts,5
1dchainmd,4
angel,4
asilicon,4
avalanche,4
bhjmorphology,4
bmcsuite,4
breakdowncal7,4
bulkmc,4
bulkmobility,4
cancerevocc3d,4
cntphonons,4
cntrelay,4
covid19analysis,4
dftexplorer,4
diffusionfcc,4
dsmc,4
echem,4
extcs_r41,4
fibstream,4
fpuf,4
gpuheompop,4
grapheneswitch,4
legogen,4
Matdcal,4
mdanalysis,4
mdshocks,4
mdshowcase,4
mdsim,4
megnet,4
molctoy,4
molexpl,4
moose,4
msl,4
mstaracademic,4
nanocmos,4
nanofet,4
nanoheatflow,4
ncevol,4
partsub,4
phononlifetime,4
photonicstk,4
pnjunctionlab_r18,4
predicts2d,4
pvpanelsim,4
reaxff597a,4
site,4
spectraesrabs,4
strainbands,4
straincalc,4
tedev,4
tpl,4
tplvaranlz,4
waveguides,4
xrdinteract,4
abase,3
antsy,3
asts,3
batteryopt,3
biomoca,3
cadnanocvrt,3
ccamt,3
cellsorthexcc3d,3
cgtb,3
chm37301_r4,3
cnc,3
crystalviewer_r30,3
cvgraph_r26,3
dsers,3
energycurve,3
exdynamics,3
fdm4tp,3
fibmd,3
fin,3
fmmacrospice,3
gibbs,3
greentherm,3
gresq,3
grisp,3
gsaimage,3
gscan,3
jfetlab_r13,3
jupyterexamples,3
jupyterprefs,3
kronig_penney_r55,3
meltingkim,3
mixedgasdiff,3
moca,3
molspec,3
mos_r14,3
mosctool,3
mosfet_r135,3
mosfet2sat,3
mpb,3
multiscaletec,3
nanofilm,3
