req_tag,distinct_IDs
atcadlab,439
jupyter,359
purdueme581,262
struc2lammpsdf,226
mseml,163
abacus,160
crystalviewer,158
handsonpinns,151
browse,149
,146
pntoy,121
polymod,119
anonymous,117
qdot,114
mosfetsat,111
draft,110
ucb_compnano,108
uvspec,107
lammpstool,103
oommf,100
images,98
pnjunctionlab,97
cc3dbase4x,95
dftqe,92
chm37301,78
bandstrlab,77
storage,75
filelist,74
jfetlab,67
tcacademic,63
contactmaps,59
3842,56
moscap,56
pcpbt,56
bjt,54
mosfet,54
2dfets,53
intromllab,53
oof2,53
tellurium,53
senstran,51
nanomos,50
1308,49
5682,49
dftmatprop,49
atcadlab_r15,48
s4sim,47
workspace,47
cc3dcovid19,46
crystal_viewer,46
npshapelab,44
cntbands-ext,42
create,42
vides,42
cntfet,39
jupyter51,39
mos,39
moscntr,39
nanomatmech,39
netdebugger,39
padre,39
orcatool,38
nusimm,37
dualfoil,36
jupyter70,35
kronigpenneylab,34
veda,34
sqsatat,33
229,32
26958,32
jupyter_r9,32
prolabcdd,32
10545,31
wulffman,31
amobt,29
archimedes,29
prolabox,29
rtdnegf,29
450,28
abinit,28
imagesegment,28
maml,28
abacus_r36,27
biolabisfet,27
kronig_penney,27
mobiresis,27
semidop,27
ddaplus,26
gfettool,26
license,26
mavelp,26
meep,26
nanofinfet,26
new,26
photonicsdb,26
brillouin,25
edusemi,25
lcoe,25
matsimtk,25
thermo,25
mtjlab,24
rdf,24
bayesopt,23
deviceelectron,23
nccpf,23
25055,22
agpvsim,22
cntnemscant,22
photonicsrt,22
purdueme581_r68,22
schred,22
2dreflect,21
cnegfmos,21
extcs,21
memristor,21
pvanalyzer,21
1dhetero,20
3741,20
dda,20
fettoy,20
matdatarepo,20
prophet,20
struct2lammps,20
fdical,19
meltheas,19
1dchainmd,18
cc3dbase4x_r12,18
fgmbuilder,18
joommf,18
omenwire,18
pnlongbasedda,18
semi,18
sha2d,18
28293,17
biolab,17
compactmodels,17
advte,16
berkeleygw,16
btesolver,16
cvgraph,16
pvlimits,16
tbmodel,16
9230,15
adeptnpt,15
angiogencc3d,15
compcatal,15
lammpstool_r46,15
sugar,15
thermalcond,15
1dfdmht,14
bacmacrocc3d4,14
databases,14
mastmltutorial,14
nanofet,14
nanoindentation,14
nanowire,14
npassemblylab,14
nsoptics,14
tsuprem4,14
35049,13
9269,13
electromat,13
mgnanowirefet,13
pc4covid19,13
qcrf4photo,13
romdegradation,13
sbcnfet,13
spice3f4,13
voidfrac,13
vsmod,13
22339,12
bowtie,12
convn,12
ddsolarcell,12
fermi,12
fibmd,12
lantrap,12
matrix2surface,12
mldefect,12
mos_r14,12
mosfetsat_r66,12
nmie,12
pc4heterogen,12
pnshortbasedda,12
pub,12
straincalc,12
17665,11
29432,11
carrierconc,11
compfilsim3d,11
ddaconvert,11
jupytergpu,11
jupyterlab,11
matlabdata,11
mdsandbox,11
moose,11
nanoconfinement,11
nanoenergytools,11
nanoparticle,11
octaview,11
pc4nanobio,11
reaxff597a,11
rtd,11
ucb_compnano_r845,11
bsclab,10
citrinetools,10
complam,10
covid19analysis,10
covidvaccinemod,10
ctfet,10
graft,10
matlabrad,10
mdanalysis,10
megnet,10
msugmmpc,10
nmst_dft,10
nwabsorption,10
pc4livermedium,10
phononlifetime,10
siesta,10
slpf,10
smdc,10
tpl,10
undefined,10
vkmllive,10
vkmlpsgg,10
youngsmod,10
1305,9
1692,9
30839,9
6804,9
aqme,9
calibdriver,9
cntmob,9
comphydrogennb,9
coulombsim,9
crystalviewer_r30,9
dbrlaser,9
deformnanowire,9
dftldahelium,9
echem,9
gsaimage,9
introtosimtools,9
jupyterexamples,9
meeppv,9
nnrf,9
prismspfmisfit,9
qdot_r172,9
straincomp,9
tellurium_r14,9
10913,8
27283,8
2dmatstacks,8
3843,8
5065,8
5237,8
bulkmc,8
circuitelements,8
citrinednn,8
cnia,8
compucell3d,8
dopingsilicon,8
dsers,8
extcs_r41,8
jupyterprefs,8
labs,8
Matdcal,8
matlabmicroelec,8
mif,8
msemlg,8
nsoptics3d,8
owetp,8
photonicspos,8
purduemse270,8
pvpanelsim,8
strainbands,8
waveguides,8
1dphononbte,7
27751,7
2dfets_r10,7
3847,7
5359,7
8228,7
941,7
asilicon,7
biophotonicsim,7
BMCsuite,7
cellsorthexcc3d,7
chemae,7
deltanotchcc3d,7
gamian,7
gibbs,7
gscan,7
htdft,7
jupyter60,7
kronig_penney_r55,7
medici,7
meltrccas,7
mesfet,7
moca,7
mot2ddemocc3d,7
nanocmos,7
opv,7
pcpbt_r99,7
piezoharvest,7
pigmenthunter,7
pnjunctionlab_r18,7
qstem,7
r0estimator2,7
storageexceeded,7
tcnt,7
tdks,7
tftutorials,7
virion2pbpd,7
xpsts,7
xrd,7
20754,6
24698,6
34042,6
4130,6
6977,6
amidespec,6
angel,6
asts,6
cancerevocc3d,6
cc3dcellsort,6
cc3dvasctumor,6
cntbte,6
deletefile,6
diffusiongame2d,6
fibstream,6
gnrinterconnect,6
greentherm,6
gresq,6
meltingkim,6
minimol,6
molexpl,6
mosctool,6
mosfet_r135,6
mpb,6
msl,6
nacresimulator,6
nanoheatflow,6
nanomos_r243,6
nanonet,6
nmstthermal,6
nuitns,6
padre_r22,6
partsub,6
pc4biorobots,6
periodicpot,6
perovmldis,6
photonicstk,6
pimc,6
pntoy_r56,6
polymerxtal,6
predicts2d,6
prolabox_r20,6
qclab,6
qudosim,6
radcool,6
s4editor,6
smoot,6
spincoupleddots,6
swntjiv,6
tddft,6
tgnb,6
tplvaranlz,6
ttmmd,6
xas,6
1307,5
1838,5
21414,5
22510,5
22855,5
2929,5
30921,5
452,5
5116,5
6539,5
anngraph,5
antsy,5
bandstrlab_r348,5
bjt_r92,5
bulkmobility,5
cntbands-ext_r44,5
cntrelay,5
crystal_viewer_r416,5
dftexplorer,5
diffusionfcc,5
dsmc,5
energycurve,5
fmmacrospice,5
gpuheompop,5
imod,5
jupyter51_r2,5
mage,5
mdshocks,5
mdsim,5
ml4ecg,5
moscntr_r27,5
mseml_r49,5
nanodrill,5
nanofinfet_r92,5
nanomatexplorer,5
nrr,5
pc3types,5
pc4cancerimmune,5
pcisa,5
pete,5
photonicsdb_r176,5
qwalk,5
rjupyternb,5
senstran_r74,5
snap,5
spinqugate,5
stickslip,5
struc2lammpsdf_r68,5
tedev,5
tidystem,5
tunnelfet,5
vkmlsd,5
vkmlsd3d,5
xrdinteract,5
1242,4
14139,4
15167,4
19427,4
1dhetero_r742,4
21854,4
22577,4
22854,4
24593,4
2464,4
2925,4
30334,4
30791,4
31004,4
31056,4
31858,4
33863,4
34585,4
35147,4
3982,4
4875,4
5223,4
acute,4
arbd,4
avalanche,4
bayesopt_r21,4
berkeleygw_r78,4
bhjmorphology,4
biolabisfet_r35,4
biomoca,4
ccamt,4
chm37301_r4,4
cntphonons,4
cond3d,4
contourpv,4
devrel,4
dftmatprop_r62,4
dftqe_r111,4
dimredmatdecmp,4
exdynamics,4
fettoy_r41,4
fiona,4
fpuf,4
gas,4
grapheneswitch,4
gscompaction,4
handsonpinns_r13,4
htworkspace,4
iavmodule,4
jupyter44,4
kronigpenneylab_r13,4
lantrap2,4
matsimtk_r68,4
mcdna,4
mdshowcase,4
memscreep,4
meshgenmic,4
mixedgasdiff,4
molctoy,4
molspec,4
mosfet2sat,4
nanofilm,4
neursynch,4
nselectrostatic,4
nsmmaster,4
oommfnotebooks,4
orcatool_r33,4
pc4cancerbots,4
photonicvasefit,4
pipeline,4
pnndemo,4
purdueme323,4
quamc2d,4
romdegradation_r39,4
semidop_r16,4
spectraesrabs,4
submit,4
teg,4
temlattice,4
testgain0d,4
tpvtest,4
vachecker,4
vides_r65,4
1035,3
19463,3
202,3
212,3
21363,3
21919,3
220,3
221,3
26057,3
2704,3
27577,3
2815,3
28586,3
2dreflect_r44,3
32625,3
32730,3
34334,3
34417,3
34992,3
35191,3
35394,3
3692,3
3984,3
451,3
4826,3
7301,3
adac,3
adept,3
ads2009,3
advte_r15,3
annihilate,3
barefoot,3
batteryopt,3
bhjmorphology_r103,3
biophotonicsim_r11,3
blockchain,3
breakdowncal7,3
