IP,ytg_refer_date,request_time,ytg_refer_url,tool_req_date,request_time,refer_url,req_URL,RC,req_type,req_tag
102.157.121.7,2021-08-08,05:15:21,https://www.youtube.com/,2021-08-08,05:15:21,https://www.youtube.com/,/tools/mastmltutorial,200,tool,mastmltutorial
103.126.184.134,2021-08-15,13:06:46,https://www.youtube.com/,2021-08-15,13:12:03,,/tools/handsonpinns,200,tool,handsonpinns
103.139.196.10,2021-08-12,14:33:06,https://www.youtube.com/,2021-08-04,00:49:34,https://nanohub.org/usage/tools,/resources/29432/usage,200,tool,29432
103.139.196.10,2021-08-12,14:33:06,https://www.youtube.com/,2021-08-04,00:47:37,https://nanohub.org/resources,/resources/databases,200,tool,databases
103.139.196.10,2021-08-12,14:33:06,https://www.youtube.com/,2021-08-03,19:18:24,https://www.google.com/,/resources/gresq,200,tool,gresq
103.139.196.10,2021-08-12,14:33:06,https://www.youtube.com/,2021-08-08,00:44:24,https://nanohub.org/members/332279/dashboard,/tools/avalanche/invoke/13,302,tool,avalanche
103.139.196.10,2021-08-12,14:33:06,https://www.youtube.com/,2021-08-08,00:55:17,https://nanohub.org/tools/jupyter/invoke/9,/tools/avalanche_r13/stop?sess=1873898,302,tool,avalanche_r13
103.139.196.10,2021-08-12,14:33:06,https://www.youtube.com/,2021-08-05,22:23:23,https://nanohub.org/members/332245/dashboard,/tools/jupyter,200,tool,jupyter
103.139.196.10,2021-08-12,14:33:06,https://www.youtube.com/,2021-08-08,01:01:33,https://nanohub.org/tools/jupyter/invoke/9,/tools/jupyter_r9/session?sess=1873900,302,tool,jupyter_r9
103.139.196.10,2021-08-12,14:33:06,https://www.youtube.com/,2021-08-08,00:45:10,https://nanohub.org/members/332279/dashboard,/tools/mseml/invoke/49,302,tool,mseml
103.139.196.10,2021-08-12,14:33:06,https://www.youtube.com/,2021-08-08,01:04:01,https://nanohub.org/tools/jupyter/invoke/9,/tools/mseml_r49/stop?sess=1873897,302,tool,mseml_r49
103.139.196.10,2021-08-12,14:33:06,https://www.youtube.com/,2021-08-12,13:57:47,https://nanohub.org/members/myaccount,/tools/ucb_compnano/invoke/845,302,tool,ucb_compnano
103.158.43.31,2021-08-16,21:58:10,https://www.youtube.com/,2021-08-19,22:19:14,https://www.google.co.in/,/resources/handsonpinns,200,tool,handsonpinns
103.203.72.23,2021-08-22,23:28:25,https://www.youtube.com/,2021-08-23,00:38:58,https://nanohub.org/members/317635/points,/resources/new,200,tool,new
103.21.125.50,2021-08-12,04:01:00,https://www.youtube.com/,2021-08-23,07:51:19,https://www.google.com/,/resources/3842,200,tool,3842
103.21.125.50,2021-08-12,04:01:00,https://www.youtube.com/,2021-08-06,05:00:26,https://www.google.com/,/resources/phononlifetime,200,tool,phononlifetime
103.21.125.50,2021-08-12,04:01:00,https://www.youtube.com/,2021-08-28,04:00:13,https://www.google.com/,/resources/polymod,200,tool,polymod
103.21.125.50,2021-08-12,04:01:00,https://www.youtube.com/,2021-08-10,02:02:06,https://www.google.com/,/resources/struc2lammpsdf,200,tool,struc2lammpsdf
103.21.125.50,2021-08-12,04:01:00,https://www.youtube.com/,2021-08-02,03:37:48,https://nanohub.org/resources/tools,/tools/cntbands-ext/invoke/44,302,tool,cntbands-ext
103.21.125.82,2021-08-25,09:08:15,https://www.youtube.com/,2021-08-25,08:53:42,,/tools/handsonpinns,200,tool,handsonpinns
103.21.125.82,2021-08-25,09:08:15,https://www.youtube.com/,2021-08-06,04:29:27,https://nano.stanford.edu/,/tools/sbcnfet/,200,tool,sbcnfet
103.21.125.83,2021-08-31,03:26:58,https://www.youtube.com/,2021-08-17,10:47:24,,/resources/schred,200,tool,schred
103.21.125.83,2021-08-31,03:26:58,https://www.youtube.com/,2021-08-31,03:28:04,https://www.youtube.com/,/tools/intromllab,200,tool,intromllab
103.21.125.83,2021-08-31,03:26:58,https://www.youtube.com/,2021-08-31,03:23:03,https://www.youtube.com/,/tools/jupyter,200,tool,jupyter
103.21.125.83,2021-08-31,03:26:58,https://www.youtube.com/,2021-08-25,04:21:05,https://nanohub.org/groups/materials/materials_courses,/tools/mseml/,200,tool,mseml
103.212.212.2,2021-08-24,05:35:36,https://www.youtube.com/,2021-08-24,05:35:36,https://www.youtube.com/,/tools/crystal_viewer/invoke?params=file%28simset%29%3A%2Fdata%2Ftools%2Fshared%2Ffaltens%2Fcrystal_viewer%2FSiPlanes%2FSiPlanes.sav,302,tool,crystal_viewer
103.231.45.46,2021-08-05,01:33:46,https://www.youtube.com/,2021-08-05,01:40:27,https://nanohub.org/groups/materials/simulation_tools/ab_initio_tools,/resources/22562,200,tool,22562
103.231.45.46,2021-08-05,01:33:46,https://www.youtube.com/,2021-08-05,01:38:35,https://nanohub.org/groups/materials/simulation_tools/ab_initio_tools,/resources/orcatool,200,tool,orcatool
103.232.241.185,2021-08-17,22:37:00,https://www.youtube.com/,2021-08-20,23:41:04,,/resources/3741/,200,tool,3741
103.232.241.185,2021-08-17,22:37:00,https://www.youtube.com/,2021-08-20,23:40:18,https://www.google.com/,/resources/abacus,200,tool,abacus
103.232.241.185,2021-08-17,22:37:00,https://www.youtube.com/,2021-08-20,23:40:42,https://nanohub.org/resources/abacus,/resources/edusemi,200,tool,edusemi
103.232.241.185,2021-08-17,22:37:00,https://www.youtube.com/,2021-08-27,05:59:22,https://www.google.com/,/resources/meltheas,200,tool,meltheas
103.27.9.249,2021-08-25,04:33:31,https://accounts.youtube.com/,2021-08-07,23:46:22,https://www.google.com/,/resources/abacus,200,tool,abacus
103.27.9.249,2021-08-25,04:33:31,https://accounts.youtube.com/,2021-08-25,04:36:28,https://nanohub.org/groups/atcadlab/semiconductor_processing_model,/tools/atcadlab,200,tool,atcadlab
103.73.45.10,2021-08-25,07:35:53,https://www.youtube.com/,2021-08-25,07:36:25,https://accounts.google.com/,/tools/mldefect,200,tool,mldefect
103.84.178.39,2021-08-13,03:46:12,https://www.youtube.com/,2021-08-13,03:47:04,https://nanohub.org/tools/imagesegment,/resources/imagesegment/about,200,tool,imagesegment
103.84.178.39,2021-08-13,03:46:12,https://www.youtube.com/,2021-08-19,03:21:14,https://nanohub.org/members/58082/dashboard,/tools/senstran,200,tool,senstran
